col_0,col_1,col_2,col_3,col_4,col_5
2,65,9,3,6,0
2,46,21,12,6,3
2,51,20,8,9,3
2,28,23,10,9,4
2,42,16,8,5,3
2,19,16,8,7,1
2,24,25,12,9,4
2,18,26,15,7,4
2,20,12,3,7,2
2,19,9,6,2,1
2,18,17,9,6,2
2,21,18,7,8,3
2,19,32,18,10,4
2,21,26,16,8,2
2,18,31,19,7,5
1,20,24,13,8,3
2,22,26,13,9,4
2,19,26,15,6,5
2,21,9,5,4,0
2,19,27,15,9,3
2,19,33,19,10,4
2,20,15,8,3,4
2,20,21,8,9,4
2,18,26,15,7,4
2,22,32,16,10,6
2,19,17,13,4,0
2,19,20,14,3,3
2,18,25,14,7,4
2,19,24,12,8,4
2,22,30,18,9,3
2,21,23,16,5,2
2,21,26,15,7,4
2,19,44,24,13,7
2,21,27,13,10,4
2,21,12,5,5,2
2,19,33,24,7,2
2,18,24,15,7,2
1,18,3,3,0,0
1,19,33,21,7,5
2,31,11,6,5,0
2,22,4,4,0,0
2,23,10,9,0,1
2,23,14,8,4,2
2,18,18,11,6,1
2,18,10,3,5,2
2,18,36,24,9,3
2,19,25,11,10,4
2,18,21,11,9,1
2,24,30,19,9,2
1,19,20,9,7,4
2,18,22,16,5,1
2,49,23,10,10,3
1,18,17,12,4,1
2,37,13,5,7,1
2,21,16,11,5,0
2,65,13,7,4,2
2,24,16,7,6,3
2,20,37,19,11,7
2,23,9,7,0,2
2,35,19,14,2,3
2,51,4,4,0,0
2,40,7,1,4,2
1,22,18,8,6,4
2,19,17,13,3,1
2,23,4,2,2,0
2,19,2,2,0,0
2,19,21,10,9,2
2,18,13,8,4,1
2,18,38,17,14,7
2,19,13,3,7,3
2,48,22,15,6,1
2,19,2,2,0,0
2,19,8,6,2,0
2,19,20,16,2,2
2,19,10,7,3,0
2,19,19,11,5,3
2,16,17,11,3,3
2,16,28,17,8,3
2,24,11,7,1,3
2,23,40,23,12,5
2,41,10,4,6,0
2,19,20,11,6,3
2,16,34,23,6,5
2,54,1,1,0,0
2,37,10,6,3,1
2,21,28,15,9,4
2,20,19,7,8,4
1,20,14,8,5,1
1,20,8,7,1,0
2,19,22,11,7,4
2,19,16,6,8,2
2,47,21,13,5,3
1,19,20,12,7,1
2,20,28,11,12,5
2,15,32,20,8,4
2,20,26,13,9,4
1,21,7,4,2,1
2,23,35,22,10,3
2,22,17,12,4,1
2,23,17,11,5,1
2,16,27,10,15,2
2,21,20,12,6,2
2,39,18,10,5,3
1,42,6,2,3,1
2,46,9,5,3,1
2,34,5,4,1,0
2,19,7,3,1,3
1,18,12,4,7,1
2,18,41,18,14,9
2,19,32,18,9,5
2,20,17,7,9,1
2,19,26,11,11,4
2,19,25,16,5,4
2,18,38,20,11,7
2,20,11,7,2,2
2,18,8,5,1,2
2,19,29,11,15,3
2,19,10,2,5,3
2,20,22,13,5,4
2,20,13,6,7,0
2,20,12,8,2,2
2,19,24,14,8,2
2,19,27,16,8,3
1,19,5,4,1,0
2,20,18,10,6,2
2,20,28,11,12,5
1,19,9,5,4,0
2,19,7,5,1,1
2,19,29,14,9,6
2,19,9,3,5,1
1,19,4,3,1,0
2,20,13,4,6,3
1,20,9,8,1,0
1,19,8,3,5,0
2,19,0,0,0,0
2,22,19,8,8,3
2,23,8,4,3,1
1,20,2,2,0,0
2,23,18,12,4,2
1,19,15,12,3,0
2,20,5,3,0,2
2,20,34,22,8,4
2,20,22,15,5,2
1,20,20,7,9,4
2,20,34,14,14,6
2,21,23,12,10,1
2,20,10,7,3,0
1,21,21,11,9,1
2,19,19,10,7,2
2,21,18,7,7,4
1,20,23,16,6,1
1,19,17,8,7,2
2,21,21,9,8,4
1,20,30,14,9,7
2,20,27,16,7,4
2,21,18,13,4,1
2,19,42,19,14,9
2,20,10,5,4,1
2,18,18,12,4,2
2,19,16,7,4,5
2,22,24,11,10,3
2,19,25,12,9,4
2,19,23,7,11,5
2,19,19,10,8,1
2,19,15,12,1,2
2,19,23,8,10,5
2,29,19,11,5,3
2,20,25,14,8,3
2,19,14,9,3,2
2,19,8,2,3,3
2,21,11,8,2,1
2,25,15,6,7,2
1,20,10,5,4,1
2,27,21,6,12,3
2,23,23,14,4,5
2,19,24,14,8,2
2,43,26,17,7,2
2,57,2,1,0,1
2,35,11,6,4,1
2,22,25,10,9,6
2,19,14,7,5,2
2,20,20,13,5,2
1,18,17,12,4,1
2,19,20,11,8,1
2,20,30,17,9,4
2,18,28,15,10,3
2,18,12,7,4,1
2,19,30,15,10,5
2,18,26,12,11,3
2,23,15,9,6,0
2,19,21,11,7,3
1,18,24,13,10,1
2,18,30,18,9,3
2,18,32,15,14,3
2,20,18,16,1,1
2,19,25,16,4,5
2,18,20,10,7,3
1,20,9,6,1,2
1,21,6,0,3,3
2,19,12,2,7,3
2,20,18,8,7,3
2,19,11,6,3,2
2,19,36,16,13,7
2,20,26,10,13,3
1,19,19,13,2,4
2,20,33,16,11,6
2,19,17,8,7,2
2,19,15,9,4,2
1,20,25,14,8,3
1,21,15,13,1,1
2,20,19,8,8,3
2,20,12,8,3,1
2,21,25,13,8,4
2,19,13,6,6,1
2,19,16,7,7,2
2,19,23,13,3,7
2,23,8,7,1,0
2,19,13,9,2,2
2,19,8,1,5,2
2,19,17,8,7,2
2,20,20,8,9,3
2,18,14,4,6,4
2,44,9,7,2,0
1,35,22,12,6,4
2,21,25,13,7,5
2,36,13,11,1,1
1,52,4,1,1,2
2,45,7,5,2,0
2,23,22,19,3,0
2,21,25,17,5,3
2,18,21,16,4,1
2,18,20,9,8,3
2,18,41,22,13,6
2,18,22,15,4,3
2,18,19,16,2,1
2,18,16,10,5,1
2,17,32,17,10,5
2,18,24,12,10,2
2,19,34,23,8,3
2,19,26,13,8,5
2,18,14,3,9,2
1,17,23,15,5,3
2,18,12,3,6,3
2,18,23,16,4,3
2,19,26,12,8,6
2,19,18,10,6,2
2,19,22,17,4,1
2,18,15,9,2,4
2,18,25,13,7,5
2,19,27,16,5,6
2,19,16,8,4,4
2,18,14,7,5,2
2,19,21,12,7,2
2,18,28,22,3,3
2,19,32,20,6,6
2,19,6,2,2,2
2,18,9,6,2,1
2,18,15,11,3,1
2,19,19,13,5,1
2,20,21,14,5,2
2,19,32,19,10,3
2,18,12,5,5,2
1,18,15,6,7,2
1,21,11,7,1,3
1,17,0,0,0,0
1,19,8,6,2,0
2,19,4,2,2,0
2,17,5,2,2,1
2,20,16,10,4,2
1,18,15,11,3,1
2,17,19,11,5,3
2,18,23,13,6,4
2,21,11,7,3,1
2,17,30,13,12,5
2,19,25,13,9,3
1,20,18,9,6,3
2,20,7,5,2,0
1,18,24,13,8,3
2,22,22,15,6,1
2,19,27,14,10,3
2,20,15,12,1,2
1,18,12,3,7,2
2,19,13,10,2,1
2,19,5,3,2,0
2,18,13,10,1,2
2,26,21,12,5,4
1,21,3,3,0,0
1,20,26,13,9,4
2,20,17,10,4,3
2,21,9,5,3,1
2,29,14,5,9,0
1,18,20,13,6,1
2,19,26,18,5,3
2,19,20,10,8,2
2,20,18,11,4,3
2,19,17,11,5,1
2,19,17,10,4,3
2,19,12,4,4,4
2,19,7,6,1,0
2,18,35,20,10,5
2,19,9,5,2,2
2,18,18,7,10,1
2,19,18,12,6,0
2,19,11,7,4,0
2,19,24,14,8,2
2,19,26,11,10,5
2,19,15,11,3,1
2,18,24,12,8,4
1,19,12,8,3,1
1,19,13,7,5,1
2,18,10,6,4,0
2,21,7,5,2,0
2,20,15,7,5,3
2,18,22,7,10,5
2,18,28,12,10,6
2,21,27,11,10,6
2,20,25,15,6,4
2,21,30,18,8,4
1,18,24,13,7,4
2,21,18,13,3,2
2,19,27,13,10,4
2,19,14,12,0,2
2,19,25,16,6,3
2,19,14,3,7,4
2,21,32,17,11,4
2,20,27,18,5,4
2,20,9,7,2,0
2,20,20,13,4,3
2,20,7,6,1,0
2,18,19,14,2,3
2,20,17,8,8,1
2,20,6,1,4,1
2,20,29,16,9,4
2,18,18,9,7,2
2,18,25,16,7,2
1,18,19,11,5,3
2,18,14,7,6,1
2,18,14,9,3,2
1,18,19,7,8,4
1,17,22,11,8,3
2,20,0,0,0,0
1,17,28,16,7,5
2,18,31,18,8,5
2,19,23,12,6,5
2,21,28,21,5,2
2,20,19,16,3,0
2,19,19,12,7,0
2,21,24,15,6,3
2,40,26,15,8,3
2,20,28,18,7,3
2,23,14,7,5,2
2,23,12,6,4,2
2,20,6,4,1,1
2,20,20,11,6,3
2,19,12,5,7,0
2,24,4,2,1,1
2,21,23,13,6,4
1,21,37,19,11,7
2,20,37,17,13,7
2,20,4,4,0,0
2,20,26,18,5,3
2,21,22,13,7,2
2,20,21,9,8,4
2,22,24,12,8,4
2,20,10,3,4,3
2,20,23,12,9,2
2,20,16,6,4,6
2,21,23,14,7,2
2,20,13,8,3,2
1,22,14,8,3,3
1,20,18,10,5,3
1,19,26,13,9,4
1,20,25,12,8,5
1,20,22,11,7,4
1,20,7,2,4,1
1,20,6,4,2,0
1,20,20,11,6,3
1,18,26,11,9,6
2,18,32,16,10,6
2,20,1,1,0,0
2,19,32,16,10,6
1,16,20,9,7,4
2,20,10,6,4,0
2,20,22,11,8,3
2,35,18,11,6,1
2,19,7,3,3,1
2,19,20,11,7,2
2,20,17,9,5,3
1,20,28,15,11,2
2,21,16,8,6,2
2,21,8,3,3,2
2,19,21,11,8,2
2,20,34,19,10,5
1,19,28,14,9,5
2,21,21,11,8,2
2,21,1,0,1,0
2,19,21,8,7,6
2,19,8,5,3,0
2,19,19,9,7,3
2,21,23,10,7,6
2,20,31,15,11,5
2,22,15,9,5,1
2,19,22,12,5,5
2,19,32,18,9,5
2,22,9,5,4,0
2,20,23,15,5,3
2,19,11,5,5,1
2,19,18,11,5,2
2,19,25,14,8,3
2,19,9,5,4,0
2,30,23,14,6,3
2,19,18,10,6,2
1,20,37,21,12,4
2,20,12,10,2,0
2,19,11,3,7,1
2,17,17,9,6,2
2,18,11,6,5,0
2,18,10,8,2,0
2,19,19,12,4,3
2,17,9,5,3,1
2,18,27,12,10,5
2,18,14,13,1,0
2,17,16,10,4,2
2,18,9,6,3,0
2,18,13,7,3,3
2,19,15,8,5,2
2,18,6,5,1,0
2,18,7,7,0,0
2,17,12,9,2,1
2,18,11,9,2,0
2,18,14,3,8,3
2,18,14,8,5,1
2,20,25,12,10,3
1,20,20,7,10,3
2,19,14,9,4,1
2,20,9,9,0,0
2,19,32,14,13,5
2,19,11,7,3,1
2,19,14,12,1,1
2,18,2,1,1,0
2,17,13,3,6,4
2,18,10,7,3,0
2,20,26,14,8,4
2,17,7,3,3,1
2,18,8,8,0,0
1,18,17,9,5,3
1,17,14,8,4,2
1,18,17,12,3,2
1,17,19,11,5,3
2,18,37,19,11,7
2,19,16,8,5,3
1,18,20,14,4,2
2,18,9,7,2,0
2,22,9,4,4,1
2,18,18,8,7,3
1,18,29,17,7,5
1,18,18,11,7,0
2,21,18,9,6,3
2,17,27,19,6,2
1,18,7,4,1,2
2,18,13,9,1,3
1,21,27,17,6,4
1,17,10,4,4,2
1,18,14,8,4,2
1,19,37,19,14,4
2,19,23,10,9,4
1,18,13,8,5,0
2,18,8,6,2,0
2,18,15,8,5,2
2,19,17,9,4,4
1,18,23,14,8,1
1,17,15,12,3,0
2,19,27,12,11,4
2,19,5,4,0,1
2,19,16,4,6,6
1,19,16,10,3,3
2,18,22,13,5,4
2,20,1,1,0,0
2,18,14,11,2,1
2,19,22,14,5,3
2,19,19,11,7,1
2,19,24,14,9,1
2,19,28,14,9,5
1,19,18,12,4,2
2,19,24,14,7,3
2,18,32,14,12,6
1,19,24,12,9,3
2,18,24,16,6,2
1,19,20,12,6,2
2,18,27,19,4,4
2,18,32,16,12,4
1,19,10,3,3,4
2,19,4,1,2,1
2,19,13,7,2,4
2,22,1,0,1,0
2,19,6,4,1,1
1,19,4,3,1,0
1,19,10,7,2,1
1,18,7,5,1,1
1,19,10,5,5,0
2,19,21,17,3,1
2,22,13,8,4,1
2,19,25,20,3,2
2,20,32,23,6,3
2,20,36,20,9,7
2,20,20,15,2,3
2,19,12,7,4,1
2,19,24,11,10,3
1,20,2,1,1,0
2,18,30,17,9,4
1,17,28,20,5,3
1,17,4,1,1,2
2,18,26,12,10,4
2,17,12,9,0,3
2,20,3,1,1,1
1,17,13,10,3,0
1,18,17,13,3,1
2,17,17,9,5,3
2,17,19,11,5,3
1,17,10,7,3,0
2,18,25,12,8,5
1,19,18,13,3,2
2,17,14,11,2,1
2,19,29,18,8,3
1,18,19,8,7,4
2,19,26,17,7,2
2,19,25,15,8,2
2,19,27,14,8,5
2,18,12,6,4,2
1,19,13,8,3,2
1,19,18,10,5,3
2,19,21,12,6,3
1,19,10,7,3,0
2,19,19,9,10,0
2,19,23,14,6,3
2,21,32,15,11,6
2,19,27,17,7,3
1,43,0,0,0,0
1,20,17,13,3,1
2,49,8,7,0,1
2,35,1,1,0,0
2,38,13,7,4,2
2,40,3,1,2,0
2,26,4,4,0,0
2,38,18,14,2,2
2,34,24,18,4,2
2,31,18,14,3,1
2,26,20,11,7,2
2,44,1,0,1,0
2,28,16,8,5,3
2,42,4,3,1,0
2,42,21,11,6,4
2,33,8,7,1,0
2,35,9,5,1,3
2,28,27,17,7,3
2,32,9,5,3,1
2,39,7,7,0,0
2,19,30,23,5,2
1,23,0,0,0,0
2,19,28,15,8,5
2,18,22,11,7,4
2,19,19,13,4,2
1,19,18,9,6,3
2,19,30,20,7,3
2,20,20,7,9,4
2,18,16,3,9,4
1,19,26,19,3,4
2,18,17,11,4,2
2,18,12,6,5,1
2,18,21,17,4,0
2,18,20,8,8,4
2,19,11,6,2,3
2,18,24,15,6,3
2,17,25,13,11,1
2,19,3,1,2,0
2,18,13,8,4,1
2,18,14,7,7,0
2,19,19,13,5,1
2,18,20,12,5,3
1,19,21,10,8,3
2,19,10,5,5,0
2,19,31,19,8,4
2,18,22,13,6,3
2,18,14,8,2,4
2,19,33,21,8,4
1,18,3,2,0,1
1,18,4,3,1,0
2,17,21,10,7,4
2,18,3,1,1,1
2,18,21,12,5,4
2,20,18,7,8,3
2,19,24,15,8,1
1,18,1,1,0,0
2,19,39,23,11,5
2,21,20,13,4,3
1,19,20,12,6,2
1,18,6,3,3,0
2,18,20,8,9,3
2,21,15,11,3,1
2,18,22,10,8,4
2,18,20,14,3,3
2,21,9,4,3,2
1,20,30,16,10,4
2,18,21,11,8,2
2,17,33,14,12,7
1,19,20,11,6,3
2,18,19,12,6,1
2,19,26,12,11,3
2,18,40,20,13,7
1,19,23,11,7,5
2,20,17,11,4,2
1,20,23,10,9,4
2,18,18,12,5,1
2,18,20,11,6,3
2,18,23,13,7,3
1,18,21,14,6,1
2,18,23,15,5,3
2,19,26,11,10,5
1,18,18,9,6,3
2,19,15,7,6,2
2,46,11,10,1,0
1,18,5,4,1,0
2,19,21,11,8,2
1,20,13,7,3,3
2,19,13,5,6,2
1,19,14,11,3,0
1,18,10,0,7,3
2,18,21,13,6,2
2,18,16,9,7,0
1,19,14,7,5,2
2,18,11,6,3,2
1,19,12,4,5,3
1,20,3,3,0,0
2,19,15,5,6,4
2,19,31,16,9,6
2,18,37,16,14,7
2,15,17,8,6,3
2,18,23,12,7,4
2,19,17,10,6,1
2,19,9,7,1,1
1,20,6,5,1,0
2,22,22,9,9,4
2,19,19,11,5,3
2,20,21,12,6,3
1,19,17,8,6,3
1,19,21,12,5,4
2,19,19,9,7,3
2,18,10,7,3,0
1,19,10,6,2,2
1,18,8,6,2,0
1,19,27,14,8,5
1,21,12,7,3,2
2,19,12,5,4,3
1,18,7,5,1,1
1,19,12,8,2,2
2,18,6,4,2,0
2,19,17,3,9,5
2,19,10,6,3,1
2,18,21,11,6,4
2,20,17,10,3,4
2,19,15,8,5,2
2,19,21,13,7,1
1,19,20,15,4,1
2,19,22,9,10,3
2,19,23,13,7,3
1,19,24,15,7,2
2,19,25,13,8,4
1,18,15,6,7,2
1,19,21,9,8,4
1,19,9,3,5,1
1,19,6,2,3,1
1,19,17,8,6,3
1,18,11,8,3,0
1,19,18,5,10,3
1,19,13,7,5,1
1,19,20,11,7,2
1,20,16,9,5,2
2,19,18,9,7,2
2,19,9,6,3,0
1,19,6,5,0,1
2,19,6,4,2,0
2,19,18,12,5,1
2,22,21,13,6,2
2,19,7,2,4,1
2,19,14,9,4,1
1,20,17,9,6,2
2,19,29,20,6,3
2,18,22,9,10,3
2,20,30,18,8,4
2,19,8,3,2,3
2,23,24,17,4,3
1,19,19,10,7,2
2,20,17,13,4,0
2,19,23,16,5,2
2,18,19,11,6,2
2,19,10,5,4,1
2,18,15,5,7,3
2,19,8,5,3,0
2,18,27,11,11,5
2,19,7,7,0,0
2,19,27,14,7,6
2,19,24,11,9,4
2,18,28,15,9,4
2,19,22,8,12,2
2,19,10,8,1,1
2,18,32,18,8,6
2,19,11,9,2,0
2,18,40,20,11,9
2,18,13,9,1,3
2,21,23,17,3,3
2,17,22,13,6,3
2,33,20,16,3,1
2,26,9,8,1,0
2,20,23,13,6,4
2,20,8,5,3,0
1,18,7,3,4,0
2,26,25,12,8,5
2,19,34,19,13,2
2,18,10,6,4,0
2,19,19,10,7,2
